Time 			Rate 	Error
664003984.4 2.57144 1.81828
664003985.4 2.53807 1.79469
664003986.4 1.29601 1.29601
664003987.4 1.28791 1.28791
664003988.4 0.00000 0.00000
664003989.4 0.00000 0.00000
664003990.4 0.00000 0.00000
664003991.4 5.03280 2.90569
664003992.4 7.35447 3.28902
664003993.4 0.00000 0.00000
664003994.4 1.26974 1.26974
664003995.4 6.37144 2.84939
664003996.4 1.28625 1.28625
664003997.4 1.30965 1.30965
664003998.4 3.85190 2.22390
664003999.4 2.58966 1.83116
664004000.4 2.59440 1.83452
664004001.4 1.26514 1.26514
664004002.4 2.53986 2.54157
664004003.4 5.09765 2.54883
664004004.4 2.52128 1.78281
664004005.4 3.84285 2.21867
664004006.4 2.57230 1.81889
664004007.4 1.29515 1.29515
664004008.4 1.29979 1.29979
664004009.4 3.92144 2.26405
664004010.4 0.00000 0.00000
664004011.4 3.04293 2.15168
664004012.4 2.69973 1.90900
664004013.4 1.73127 1.73127
664004014.4 4.34191 2.50680
664004015.4 0.00000 0.00000
664004016.4 3.79111 2.18880
664004017.4 1.26824 1.26824
664004018.4 1.30054 1.30054
664004019.4 5.12377 2.56189
664004020.4 2.53251 1.79076
664004021.4 1.28428 1.28428
664004022.4 0.00000 0.00000
664004023.4 6.31809 2.82554
664004024.4 1.27605 1.27605
664004025.4 0.00000 0.00000
664004026.4 1.29022 1.29022
664004027.4 3.93398 2.93361
664004028.4 1.31799 1.31799
664004029.4 6.43766 2.87901
664004030.4 0.00000 0.00000
664004031.4 2.53342 1.79140
664004032.4 2.55607 1.80742
664004033.4 3.83744 2.21554
664004034.4 2.56684 1.81503
664004035.4 3.85379 2.22499
664004036.4 0.00000 0.00000
664004037.4 6.41186 2.86747
664004038.4 3.44136 2.43341
664004039.4 0.00000 0.00000
664004040.4 4.17240 2.40894
664004041.4 1.75750 1.75750
664004042.4 2.61993 1.85257
664004043.4 5.14257 2.57129
664004044.4 1.29631 1.29631
664004045.4 5.15405 2.57703
664004046.4 1.29117 1.29117
664004047.4 2.57170 1.81847
664004048.4 1.28237 1.28237
664004049.4 5.15657 2.57828
664004050.4 2.56152 1.81127
664004051.4 2.59253 1.83319
664004052.4 0.00000 0.00000
664004053.4 1.27975 1.27975
664004054.4 0.00000 0.00000
664004055.4 -0.00114032 1.80412
664004056.4 2.55756 1.80847
664004057.4 2.60643 1.84302
664004058.4 0.00000 0.00000
664004059.4 1.29151 1.29151
664004060.4 5.19607 2.59804
664004061.4 2.60355 1.84099
664004062.4 -1.31117 1.31117
664004063.4 1.27008 1.27008
664004064.4 2.60331 1.84082
664004065.4 1.44132 1.44132
664004066.4 6.82117 3.41058
664004067.4 2.71473 1.91960
664004068.4 2.60462 1.84175
664004069.4 5.18879 2.59439
664004070.4 5.15696 2.57848
664004071.4 3.86047 2.22884
664004072.4 3.87645 2.23807
664004073.4 1.28827 1.28827
664004074.4 0.00000 0.00000
664004075.4 3.45080 2.44008
664004076.4 1.36331 1.36331
664004077.4 2.56981 1.81713
664004078.4 5.12669 2.56334
664004079.4 1.28027 1.28027
664004080.4 5.10046 2.55023
664004081.4 2.59846 1.83739
664004082.4 3.85398 2.22510
664004083.4 3.84957 2.22255
664004084.4 5.06371 2.53186
664004085.4 1.27736 1.27736
664004086.4 1.29357 1.29357
664004087.4 3.87574 2.23766
664004088.4 0.00000 0.00000
664004089.4 0.00000 0.00000
664004090.4 1.28554 1.28554
664004091.4 0.00000 0.00000
